"session","created","modified","ended","expired","code","pid_nr","class_start","ref_norm","refnorm_open_t1","random_refnorm_sentence_t1_class1","random_refnorm_sentence_t1_class2","refnorm_rank_t1","refnorm_open_t2","random_refnorm_sentence_t2_class1","random_refnorm_sentence_t2_class2","refnorm_rank_t2","student1","student2","student3","student4","student5","student6","student7","student8","student9","inf_cons","age","gender","exp","subjects","subject_deutsch"
"","2022-04-09 12:40:38","2022-04-09 12:44:19","2022-04-09 12:44:19","","","0","1","s","a","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","1","s","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","2","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","2","1","2","1, 2","2"
"lightImpalaXXXHrogfeEkIBNnquICoDvCUVzgy_hrnZkObliQ0MejP-OwPZha7h","2022-04-09 12:57:44","","","","","1","1","s","","","","","","","","","","","","","","","","","","","","","","",""
"happyCoralXXXzXkintaPKs0SXUM_lCXo1FNZlvibrXimPCJjAJfsS6SVm-FTHg_","2022-04-09 12:58:43","2022-04-09 13:01:57","2022-04-09 13:01:57","","","2","2","c","a","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","1","1","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","2","3","3","1, 4","2"
"wanderingBarnacleXXXSGkb64cvFgQTiExa5Fy_IHCUqoFt9MRIxm_sgQMyPdHH","2022-04-09 14:16:03","2022-04-09 14:22:59","2022-04-09 14:22:59","","","3","2","c","a","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","1","a","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","1","1","2","1, 2, 4","1"
"tenderStagBeetleXXXc3U7zpMoJiH5yy0gxfDjEpC6hm1paP-z-FZcYmuDQ6yUr","2022-04-09 14:24:43","2022-04-09 14:29:18","2022-04-09 14:29:18","","","4","2","c","a","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","a","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","1","1","1","1, 2, 3, 4, 5","2"
"","2022-04-09 14:29:39","2022-04-09 14:30:16","2022-04-09 14:30:17","","","0","2","c","thank the formr monkey
many times","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","thank the formr monkey
many times","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","1","1","1","1, 2","2"
"","2022-04-09 14:30:26","2022-04-09 14:30:50","2022-04-09 14:30:50","","","0","1","c","thank the formr monkey
many times","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","1","thank the formr monkey
many times","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","2","","","","",""
"distinctEagleXXXcPqGdI1XUxEI31rdFeYJ__1uOOZZUr-oOoJo-SvJAvxfH2ZN","2022-04-09 14:32:10","2022-04-09 14:34:02","2022-04-09 14:34:02","","","5","1","c","a","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","1","a","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","1","1","1","1","1"
"ISRzdSPeH9Z4wA1C5dJjv44UCilPJ_KqbwHF6KjFeLZUhnbiBpf8ylgbQShi_A4X","2022-04-09 14:46:59","","","","","6","1","s","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-04-12 11:17:37","","","","","0","1","s","","","","","","","","","","","","","","","","","","","","","","",""
